Tayp,Name,Level,Price,Sales,Inventory
Soup,Tonkotsu,1,0,0,100
Soup,Shoyu,1,0,0,100
Soup,Shio,1,0,0,100
Noodles,Soft,1,0,0,100
Noodles,Medium,1,0,0,100
Noodles,Firm,1,0,0,100
Onion,No,1,0,0,-1
Onion,Onion,1,0,0,100
Onion,Onion,2,0,0,50
Nori,Nori,1,0,0,45
Nori,No,1,0,0,-1
Chashu,Chasu,1,0,0,100
Chashu,No,1,0,0,-1
Egg,Egg,1,0,0,100
Egg,No,1,0,0,-1
Spiciness,Spiciness,1,0,0,-1
Spiciness,Spiciness,2,0,0,-1
Spiciness,Spiciness,3,0,0,-1
Spiciness,Spiciness,4,0,0,-1
Spiciness,Spiciness,5,0,0,-1
AddOne,Nori,1,1,0,45
AddOne,Egg,1,1,0,100
AddOne,Bamboo,1,1,0,100
AddOne,Chashu,1,2,0,100
